Country,City,Country_Population,Total_Day_Lockdown,Avg_Pollution_2020,Avg_Pollution_2019,Change,Development,Total_Case,Total_Death,Latitude,Longitude
United Arab Emirates,Dubai,9890400,23,86,95,1,1,22627,214,23.424076,53.847818
Argentina,Buenos Aires,45195777,60,35.9,35,0,0,7792,363,-38.416097,-63.616672
Austria,Vienna,9006400,29,44,50,1,1,16140,628,47.516231,14.550072
Australia,Melbourne,25499881,56,31,28,0,1,7036,98,-25.274398,133.775136
Bangladesh,Dhaka,25499881,31,175,210,1,0,7036,98,23.684994,90.356331
Belgium,Brussels,11589616,33,41,49,1,1,54989,9005,50.503887,4.469936
Brazil,Sao Paulo,212559409,55,44,49,1,0,233142,15633,-14.235004,-51.92528
Switzerland,Zurich,8654618,56,2,3,1,1,30489,1601,46.818188,8.227512
Chile,Santiago,19116209,60,66,61,0,1,41428,421,-35.675147,-71.542969
China,Wuhan,1439323774,77,105,139,1,0,84044,4638,35.86166,104.195397
Colombia,Bogota,50882884,48,140,70,0,0,14939,562,4.570868,-74.297333
Costa Rica,San Hose,5094114,58,35,36,1,1,853,10,9.748917,-83.753428
Czech Republic,Prague,10708982,28,43,53,1,1,8455,296,49.817492,15.472962
Germany,Berlin,83783945,49,37,54,1,1,174355,7914,51.165691,10.451526
Denmark,Copenhang,5792203,34,33,29,0,1,10858,543,56.26392,9.501785
Algeria,Algiers,43851043,53,71,68,0,0,6821,542,28.033886,1.659626
Ecuador,Quito,17643060,16,47,58,1,0,32763,2688,-1.831239,-78.183406
Spain,Madrid,46754783,57,40,46,1,1,231350,27650,40.463667,-3.74922
Finland,Helsinki,5540718,21,19,24,1,1,6286,297,61.92411,25.748151
France,Paris,65273512,56,46,58,1,1,142291,27625,46.227638,2.213749
United Kingdom,London,67886004,56,39,38,0,1,240161,34466,55.378051,-3.435973
Greece,Athens,10423056,43,48,48,0,1,2819,162,39.074208,21.824312
Croatia,Rijeka,4105268,33,42,39,0,1,2224,95,45.1,15.2
Hungary,Budapest,9660350,14,57,43,0,1,3509,451,47.162494,19.503304
Ireland,Dublin,4937796,67,28,39,1,1,24048,1533,53.41291,-8.24389
India,New Delhi,1380004385,54,154,217,1,0,90927,2872,20.593684,78.96288
Iraq,Baghdad,40222503,21,93,77,0,0,3260,121,33.223191,43.679291
Italy,Milan,60461828,56,83,94,1,1,224760,31763,41.87194,12.56738
Kuwait,Hawally,4270563,16,98,102,1,1,13802,107,29.31166,47.481766
Lithuania,Kaunas,2722291,43,44,58,1,1,1534,55,55.169438,23.881275
Mongolia,Ulan Bator,3278292,7,129,192,1,0,136,0,46.862496,103.846656
Netherlands,Amsterdam,17134873,44,40,50,1,1,43870,5670,52.132633,5.291266
Norway,Oslo,5421242,33,26,36,1,1,8197,232,60.472024,8.468946
Nepal,Kathmandu,29136808,23,120,122,1,0,291,1,28.394857,84.124008
New Zealand,Wellington,4822233,50,27,24,0,1,1149,21,-40.900557,174.885971
Peru,Lima,32971846,63,56,53,0,0,88541,2523,-9.189967,-75.015152
Pakistan,Islamabad,220892331,47,105,86,0,0,0,0,30.375321,69.345116
Poland,Warsaw,37846605,30,62,73,1,1,18257,915,51.919438,19.145136
Portugal,Lisbon,10196707,15,40,47,1,1,28810,1203,39.399872,-8.224454
Serbia,Belgrade,6804596,51,82,91,1,0,10496,228,44.016521,21.005859
Russia,Moscow,145934460,44,35,36,1,0,272043,2537,61.52401,105.318756
Singapore,Singapore,5935053,41,42,50,1,1,27356,22,1.352083,103.819836
Slovakia,Bratislava,5459643,38,57,55,0,1,1493,28,48.669026,19.699024
Thailand,Bangkok,69799978,54,87,96,1,0,3028,56,15.870032,100.992541
Turkey,Istanbul,84339067,15,64,72,1,0,148067,4096,38.963745,35.243322
Ukraine,Kyiv,43733759,39,42,43,1,0,17858,497,48.379433,31.16558
United States,NewYork-Manhattan,331002647,43,28,34,1,1,1467884,88754,37.09024,-95.712891
